Time	Type	R/W	AP/DP	Register	Request byte	ACK	WData	WData details
6.60229138	Operation	read	AccessPort	BD3	0x9F	OK	0x00000000	
6.60235772	Operation	read	DebugPort	RDBUFF	0xBD	OK	0x00000000	
6.60243844	Operation	write	DebugPort	SELECT	0xB1	OK	0x00000000	APSEL=0x00, APBANKSEL=0x0, PRESCALER=0x0
6.60253880	Operation	write	AccessPort	TAR	0x8B	OK	0xE000EDF0	
6.60264068	Operation	write	DebugPort	SELECT	0xB1	OK	0x00000010	APSEL=0x00, APBANKSEL=0x1, PRESCALER=0x0
6.60274010	Operation	read	AccessPort	BD0	0x87	OK	0x00000000	
6.60280644	Operation	read	DebugPort	RDBUFF	0xBD	OK	0x01010001	
6.60290218	Operation	write	DebugPort	SELECT	0xB1	OK	0x00000000	APSEL=0x00, APBANKSEL=0x0, PRESCALER=0x0
6.60300254	Operation	write	AccessPort	TAR	0x8B	OK	0x20000080	
6.60310414	Operation	write	DebugPort	SELECT	0xB1	OK	0x00000010	APSEL=0x00, APBANKSEL=0x1, PRESCALER=0x0
6.60320356	Operation	read	AccessPort	BD2	0xB7	OK	0x01010001	
6.60326988	Operation	read	DebugPort	RDBUFF	0xBD	OK	0x00000000	
6.60334692	Operation	read	AccessPort	BD3	0x9F	OK	0x00000000	
6.60341326	Operation	read	DebugPort	RDBUFF	0xBD	OK	0x00000000	
6.60349396	Operation	write	DebugPort	SELECT	0xB1	OK	0x00000000	APSEL=0x00, APBANKSEL=0x0, PRESCALER=0x0
6.60359434	Operation	write	AccessPort	TAR	0x8B	OK	0xE000EDF0	
6.60369618	Operation	write	DebugPort	SELECT	0xB1	OK	0x00000010	APSEL=0x00, APBANKSEL=0x1, PRESCALER=0x0
6.60379560	Operation	read	AccessPort	BD0	0x87	OK	0x00000000	
6.60386192	Operation	read	DebugPort	RDBUFF	0xBD	OK	0x01010001	
6.60395768	Operation	write	DebugPort	SELECT	0xB1	OK	0x00000000	APSEL=0x00, APBANKSEL=0x0, PRESCALER=0x0
6.60405804	Operation	write	AccessPort	TAR	0x8B	OK	0x20000080	
6.60415964	Operation	write	DebugPort	SELECT	0xB1	OK	0x00000010	APSEL=0x00, APBANKSEL=0x1, PRESCALER=0x0
6.60425906	Operation	read	AccessPort	BD2	0xB7	OK	0x01010001	
6.60432538	Operation	read	DebugPort	RDBUFF	0xBD	OK	0x00000000	
6.60440244	Operation	read	AccessPort	BD3	0x9F	OK	0x00000000	
6.60446878	Operation	read	DebugPort	RDBUFF	0xBD	OK	0x00000000	
6.60454948	Operation	write	DebugPort	SELECT	0xB1	OK	0x00000000	APSEL=0x00, APBANKSEL=0x0, PRESCALER=0x0
6.60464986	Operation	write	AccessPort	TAR	0x8B	OK	0xE000EDF0	
6.60475172	Operation	write	DebugPort	SELECT	0xB1	OK	0x00000010	APSEL=0x00, APBANKSEL=0x1, PRESCALER=0x0
6.60485114	Operation	read	AccessPort	BD0	0x87	OK	0x00000000	
6.60491748	Operation	read	DebugPort	RDBUFF	0xBD	OK	0x01010001	
6.60501324	Operation	write	DebugPort	SELECT	0xB1	OK	0x00000000	APSEL=0x00, APBANKSEL=0x0, PRESCALER=0x0
6.60511362	Operation	write	AccessPort	TAR	0x8B	OK	0x20000080	
6.60521520	Operation	write	DebugPort	SELECT	0xB1	OK	0x00000010	APSEL=0x00, APBANKSEL=0x1, PRESCALER=0x0
6.60531462	Operation	read	AccessPort	BD2	0xB7	OK	0x01010001	
6.60538096	Operation	read	DebugPort	RDBUFF	0xBD	OK	0x00000000	
6.60545800	Operation	read	AccessPort	BD3	0x9F	OK	0x00000000	
6.60552434	Operation	read	DebugPort	RDBUFF	0xBD	OK	0x00000000	
6.60560504	Operation	write	DebugPort	SELECT	0xB1	OK	0x00000000	APSEL=0x00, APBANKSEL=0x0, PRESCALER=0x0
6.60570542	Operation	write	AccessPort	TAR	0x8B	OK	0xE000EDF0	
6.60580728	Operation	write	DebugPort	SELECT	0xB1	OK	0x00000010	APSEL=0x00, APBANKSEL=0x1, PRESCALER=0x0
6.60590670	Operation	read	AccessPort	BD0	0x87	OK	0x00000000	
6.60597304	Operation	read	DebugPort	RDBUFF	0xBD	OK	0x01010001	
6.60606882	Operation	write	DebugPort	SELECT	0xB1	OK	0x00000000	APSEL=0x00, APBANKSEL=0x0, PRESCALER=0x0
6.60616918	Operation	write	AccessPort	TAR	0x8B	OK	0x20000080	
6.60627078	Operation	write	DebugPort	SELECT	0xB1	OK	0x00000010	APSEL=0x00, APBANKSEL=0x1, PRESCALER=0x0
6.60637022	Operation	read	AccessPort	BD2	0xB7	OK	0x01010001	
6.60643654	Operation	read	DebugPort	RDBUFF	0xBD	OK	0x00000000	
6.60651358	Operation	read	AccessPort	BD3	0x9F	OK	0x00000000	
6.60657990	Operation	read	DebugPort	RDBUFF	0xBD	OK	0x00000000	
6.60666060	Operation	write	DebugPort	SELECT	0xB1	OK	0x00000000	APSEL=0x00, APBANKSEL=0x0, PRESCALER=0x0
6.60676096	Operation	write	AccessPort	TAR	0x8B	OK	0xE000EDF0	
6.60686282	Operation	write	DebugPort	SELECT	0xB1	OK	0x00000010	APSEL=0x00, APBANKSEL=0x1, PRESCALER=0x0
6.60696226	Operation	read	AccessPort	BD0	0x87	OK	0x00000000	
6.60702858	Operation	read	DebugPort	RDBUFF	0xBD	OK	0x01010001	
6.60712434	Operation	write	DebugPort	SELECT	0xB1	OK	0x00000000	APSEL=0x00, APBANKSEL=0x0, PRESCALER=0x0
6.60722472	Operation	write	AccessPort	TAR	0x8B	OK	0x20000080	
