Time	Type	R/W	AP/DP	Register	Request byte	ACK	WData	WData details
3.84453202	Operation	write	AccessPort	DRW	0xBB	OK	0x1FFF8E60	
3.84458176	Operation	write	AccessPort	DRW	0xBB	OK	0x00002C1C	
3.84463150	Operation	write	AccessPort	DRW	0xBB	OK	0x1FFF8ED0	
3.84468124	Operation	write	AccessPort	DRW	0xBB	OK	0x4B0DB510	
3.84473098	Operation	write	AccessPort	DRW	0xBB	OK	0xF413681B	
3.84478072	Operation	write	AccessPort	DRW	0xBB	OK	0xD0125F80	
3.84483046	Operation	write	AccessPort	DRW	0xBB	OK	0xD80C2821	
3.84488020	Operation	write	AccessPort	DRW	0xBB	OK	0x4B0B4C0A	
3.84492994	Operation	write	AccessPort	DRW	0xBB	OK	0x3030F853	
3.84498354	Operation	write	AccessPort	DRW	0xBB	OK	0x21016023	
3.84503328	Operation	write	AccessPort	DRW	0xBB	OK	0xF93CF7FE	
3.84508302	Operation	write	AccessPort	DRW	0xBB	OK	0x22006823	
3.84513276	Operation	write	AccessPort	DRW	0xBB	OK	0x2001701A	
3.84518248	Operation	write	AccessPort	DRW	0xBB	OK	0x2000BD10	
3.84523222	Operation	write	AccessPort	DRW	0xBB	OK	0x60184B03	
3.84528196	Operation	write	AccessPort	DRW	0xBB	OK	0x2000BD10	
3.84533170	Operation	write	AccessPort	DRW	0xBB	OK	0xBF00BD10	
3.84538144	Operation	write	AccessPort	DRW	0xBB	OK	0x40048034	
3.84543118	Operation	write	AccessPort	DRW	0xBB	OK	0x1FFF8E5C	
3.84548092	Operation	write	AccessPort	DRW	0xBB	OK	0x00002C1C	
3.84553066	Operation	write	AccessPort	DRW	0xBB	OK	0x681B4B0D	
3.84558040	Operation	write	AccessPort	DRW	0xBB	OK	0x5F80F413	
3.84563014	Operation	write	AccessPort	DRW	0xBB	OK	0x280ED013	
3.84567988	Operation	write	AccessPort	DRW	0xBB	OK	0xF240D10A	
3.84572962	Operation	write	AccessPort	DRW	0xBB	OK	0x4B0A3202	
3.84577936	Operation	write	AccessPort	DRW	0xBB	OK	0x4B0A601A	
3.84582910	Operation	write	AccessPort	DRW	0xBB	OK	0xF0427B5A	
3.84587884	Operation	write	AccessPort	DRW	0xBB	OK	0x735A0201	
3.84592860	Operation	write	AccessPort	DRW	0xBB	OK	0x47702001	
